Event,Date⇩,Event,Venue,Competitors,url,track_name,race_country
UCI - DHI World Championships '09,6th Sep 2009,UCI - DHI World Championships '09,"Stromlo, Canberra, ACT, Australia",134,https://www.rootsandrain.com/event133/2009-sep-6-uci-dhi-world-championships-09-stromlo-canberra-act/,Stromlo, Australia
2009 Nissan UCI World Cup DH #7,2nd Aug 2009,2009 Nissan UCI World Cup DH #7,"Bromont, QC, Canada",190,https://www.rootsandrain.com/event178/2009-aug-2-nissan-uci-world-cup-dh-7-bromont-qc/,Bromont, Canada
2009 Nissan UCI World Cup DH #6,26th Jul 2009,2009 Nissan UCI World Cup DH #6,"Mont-Sainte-Anne, QC, Canada",190,https://www.rootsandrain.com/event177/2009-jul-26-nissan-uci-world-cup-dh-6-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2009 Nissan UCI World Cup DH #5,21st Jun 2009,2009 Nissan UCI World Cup DH #5,"Maribor, Slovenia",256,https://www.rootsandrain.com/event176/2009-jun-21-nissan-uci-world-cup-dh-5-maribor/,Maribor, Slovenia
2009 Nissan UCI World Cup DH #4,7th Jun 2009,2009 Nissan UCI World Cup DH #4,"Fort William, UK",177,https://www.rootsandrain.com/event175/2009-jun-7-nissan-uci-world-cup-dh-4-fort-william/,Fort William, UK
2009 Nissan UCI World Cup DH #3,17th May 2009,2009 Nissan UCI World Cup DH #3,"Vallnord, Andorra",223,https://www.rootsandrain.com/event174/2009-may-17-nissan-uci-world-cup-dh-3-vallnord/,Vallnord, Andorra
2009 Nissan UCI World Cup DH #2,10th May 2009,2009 Nissan UCI World Cup DH #2,"La Bresse, France",246,https://www.rootsandrain.com/event173/2009-may-10-nissan-uci-world-cup-dh-2-la-bresse/,La Bresse, France
2009 Nissan UCI World Cup DH #1,12th Apr 2009,2009 Nissan UCI World Cup DH #1,"Pietermaritzburg, KZN, South Africa",121,https://www.rootsandrain.com/event172/2009-apr-12-nissan-uci-world-cup-dh-1-pietermaritzburg-kzn/,Pietermaritzburg, South Africa
UCI - DHI World Championships '10,5th Sep 2010,UCI - DHI World Championships '10,"Mont-Sainte-Anne, QC, Canada",146,https://www.rootsandrain.com/event226/2010-sep-5-uci-dhi-world-championships-10-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2010 UCI World Cup DH #6,29th Aug 2010,2010 UCI World Cup DH #6,"Windham, NY, USA",155,https://www.rootsandrain.com/event185/2010-aug-29-uci-world-cup-dh-6-windham-ny/,Windham, USA
2010 UCI World Cup DH #5,1st Aug 2010,2010 UCI World Cup DH #5,"Val di Sole, Italy",228,https://www.rootsandrain.com/event184/2010-aug-1-uci-world-cup-dh-5-val-di-sole/,Val di Sole, Italy
2010 UCI World Cup DH #4,25th Jul 2010,2010 UCI World Cup DH #4,"Champéry, Switzerland",241,https://www.rootsandrain.com/event183/2010-jul-25-uci-world-cup-dh-4-champery/,Champéry, Switzerland
2010 UCI World Cup DH #3,20th Jun 2010,2010 UCI World Cup DH #3,"Leogang, Austria",257,https://www.rootsandrain.com/event182/2010-jun-20-uci-world-cup-dh-3-leogang/,Leogang, Austria
2010 UCI World Cup DH #2,6th Jun 2010,2010 UCI World Cup DH #2,"Fort William, UK",208,https://www.rootsandrain.com/event181/2010-jun-6-uci-world-cup-dh-2-fort-william/,Fort William, UK
2010 UCI World Cup DH #1,16th May 2010,2010 UCI World Cup DH #1,"Maribor, Slovenia",277,https://www.rootsandrain.com/event180/2010-may-16-uci-world-cup-dh-1-maribor/,Maribor, Slovenia
UCI - DHI World Championships '11,4th Sep 2011,UCI - DHI World Championships '11,"Champéry, Switzerland",206,https://www.rootsandrain.com/event307/2011-sep-4-uci-dhi-world-championships-11-champery/,Champéry, Switzerland
2011 UCI World Cup DH #7,21st Aug 2011,2011 UCI World Cup DH #7,"Val di Sole, Italy",270,https://www.rootsandrain.com/event306/2011-aug-21-uci-world-cup-dh-7-val-di-sole/,Val di Sole, Italy
2011 UCI World Cup DH #6,7th Aug 2011,2011 UCI World Cup DH #6,"La Bresse, France",260,https://www.rootsandrain.com/event305/2011-aug-7-uci-world-cup-dh-6-la-bresse/,La Bresse, France
2011 UCI World Cup DH #5,10th Jul 2011,2011 UCI World Cup DH #5,"Windham, NY, USA",168,https://www.rootsandrain.com/event304/2011-jul-10-uci-world-cup-dh-5-windham-ny/,Windham, USA
2011 UCI World Cup DH #4,3rd Jul 2011,2011 UCI World Cup DH #4,"Mont-Sainte-Anne, QC, Canada",164,https://www.rootsandrain.com/event303/2011-jul-3-uci-world-cup-dh-4-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2011 UCI World Cup DH #3,12th Jun 2011,2011 UCI World Cup DH #3,"Leogang, Austria",296,https://www.rootsandrain.com/event302/2011-jun-12-uci-world-cup-dh-3-leogang/,Leogang, Austria
2011 UCI World Cup DH #2,5th Jun 2011,2011 UCI World Cup DH #2,"Fort William, UK",225,https://www.rootsandrain.com/event301/2011-jun-5-uci-world-cup-dh-2-fort-william/,Fort William, UK
2011 UCI World Cup DH #1,24th Apr 2011,2011 UCI World Cup DH #1,"Pietermaritzburg, KZN, South Africa",130,https://www.rootsandrain.com/event300/2011-apr-24-uci-world-cup-dh-1-pietermaritzburg-kzn/,Pietermaritzburg, South Africa
2012 UCI World Cup DH #7,16th Sep 2012,2012 UCI World Cup DH #7,"Hafjell Bike Park, Norway",177,https://www.rootsandrain.com/event693/2012-sep-16-uci-world-cup-dh-7-hafjell-bike-park/,Hafjell Bike Park, Norway
UCI - DHI World Championships '12,2nd Sep 2012,UCI - DHI World Championships '12,"Leogang, Austria",237,https://www.rootsandrain.com/event694/2012-sep-2-uci-dhi-world-championships-12-leogang/,Leogang, Austria
2012 UCI World Cup DH #6,29th Jul 2012,2012 UCI World Cup DH #6,"Val d'Isère, France",267,https://www.rootsandrain.com/event692/2012-jul-29-uci-world-cup-dh-6-val-disere/,Val d'Isère, France
2012 UCI World Cup DH #5,1st Jul 2012,2012 UCI World Cup DH #5,"Windham, NY, USA",201,https://www.rootsandrain.com/event691/2012-jul-1-uci-world-cup-dh-5-windham-ny/,Windham, USA
2012 UCI World Cup DH #4,24th Jun 2012,2012 UCI World Cup DH #4,"Mont-Sainte-Anne, QC, Canada",192,https://www.rootsandrain.com/event690/2012-jun-24-uci-world-cup-dh-4-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2012 UCI World Cup DH #3,10th Jun 2012,2012 UCI World Cup DH #3,"Fort William, UK",213,https://www.rootsandrain.com/event689/2012-jun-10-uci-world-cup-dh-3-fort-william/,Fort William, UK
2012 UCI World Cup DH #2,3rd Jun 2012,2012 UCI World Cup DH #2,"Val di Sole, Italy",266,https://www.rootsandrain.com/event688/2012-jun-3-uci-world-cup-dh-2-val-di-sole/,Val di Sole, Italy
2012 UCI World Cup DH #1,18th Mar 2012,2012 UCI World Cup DH #1,"Pietermaritzburg, KZN, South Africa",154,https://www.rootsandrain.com/event687/2012-mar-18-uci-world-cup-dh-1-pietermaritzburg-kzn/,Pietermaritzburg, South Africa
2013 UCI World Cup DH #6,22nd Sep 2013,2013 UCI World Cup DH #6,"Leogang, Austria",288,https://www.rootsandrain.com/event1508/2013-sep-22-uci-world-cup-dh-6-leogang/,Leogang, Austria
2013 UCI World Cup DH #5,15th Sep 2013,2013 UCI World Cup DH #5,"Hafjell Bike Park, Norway",215,https://www.rootsandrain.com/event1507/2013-sep-15-uci-world-cup-dh-5-hafjell-bike-park/,Hafjell Bike Park, Norway
UCI - DHI World Championships '13,1st Sep 2013,UCI - DHI World Championships '13,"Pietermaritzburg, KZN, South Africa",141,https://www.rootsandrain.com/event1458/2013-sep-1-uci-dhi-world-championships-13-pietermaritzburg-kzn/,Pietermaritzburg, South Africa
2013 UCI World Cup DH #4,11th Aug 2013,2013 UCI World Cup DH #4,"Mont-Sainte-Anne, QC, Canada",170,https://www.rootsandrain.com/event1506/2013-aug-11-uci-world-cup-dh-4-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2013 UCI World Cup DH #3,28th Jul 2013,2013 UCI World Cup DH #3,"Vallnord, Andorra",255,https://www.rootsandrain.com/event1505/2013-jul-28-uci-world-cup-dh-3-vallnord/,Vallnord, Andorra
2013 UCI World Cup DH #2,16th Jun 2013,2013 UCI World Cup DH #2,"Val di Sole, Italy",312,https://www.rootsandrain.com/event1504/2013-jun-16-uci-world-cup-dh-2-val-di-sole/,Val di Sole, Italy
2013 UCI World Cup DH #1,9th Jun 2013,2013 UCI World Cup DH #1,"Fort William, UK",248,https://www.rootsandrain.com/event1502/2013-jun-9-uci-world-cup-dh-1-fort-william/,Fort William, UK
UCI - DHI World Championships '14,7th Sep 2014,UCI - DHI World Championships '14,"Hafjell Bike Park, Norway",201,https://www.rootsandrain.com/event2006/2014-sep-7-uci-dhi-world-championships-14-hafjell-bike-park/,Hafjell Bike Park, Norway
2014 UCI World Cup DH #7,23rd Aug 2014,2014 UCI World Cup DH #7,"Méribel, France",279,https://www.rootsandrain.com/event2005/2014-aug-23-uci-world-cup-dh-7-meribel/,Méribel, France
2014 UCI World Cup DH #6,10th Aug 2014,2014 UCI World Cup DH #6,"Windham, NY, USA",227,https://www.rootsandrain.com/event2004/2014-aug-10-uci-world-cup-dh-6-windham-ny/,Windham, USA
2014 UCI World Cup DH #5,2nd Aug 2014,2014 UCI World Cup DH #5,"Mont-Sainte-Anne, QC, Canada",225,https://www.rootsandrain.com/event2003/2014-aug-2-uci-world-cup-dh-5-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
UCI - Austrian DH National Champs '14,13th Jul 2014,UCI - Austrian DH National Champs '14,"Kirchberg, Austria",155,https://www.rootsandrain.com/event2767/2014-jul-13-uci-austrian-dh-national-champs-14-kirchberg/photos/,Kirchberg, Austria
2014 UCI World Cup DH #4,15th Jun 2014,2014 UCI World Cup DH #4,"Leogang, Austria",339,https://www.rootsandrain.com/event2002/2014-jun-15-uci-world-cup-dh-4-leogang/,Leogang, Austria
2014 UCI World Cup DH #3,8th Jun 2014,2014 UCI World Cup DH #3,"Fort William, UK",243,https://www.rootsandrain.com/event2001/2014-jun-8-uci-world-cup-dh-3-fort-william/,Fort William, UK
2014 UCI World Cup DH #2,27th Apr 2014,2014 UCI World Cup DH #2,"Cairns, QLD, Australia",153,https://www.rootsandrain.com/event2000/2014-apr-27-uci-world-cup-dh-2-cairns-qld/,Cairns, Australia
2014 UCI World Cup DH #1,12th Apr 2014,2014 UCI World Cup DH #1,"Pietermaritzburg, KZN, South Africa",145,https://www.rootsandrain.com/event1999/2014-apr-12-uci-world-cup-dh-1-pietermaritzburg-kzn/,Pietermaritzburg, South Africa
UCI - DHI World Championships '15,6th Sep 2015,UCI - DHI World Championships '15,"Vallnord, Andorra",192,https://www.rootsandrain.com/event3134/2015-sep-6-uci-dhi-world-championships-15-vallnord/,Vallnord, Andorra
UCI - Austrian DH National Champs '15,29th Aug 2015,UCI - Austrian DH National Champs '15,"Innsbruck, Austria",75,https://www.rootsandrain.com/venue705/innsbruck/,Innsbruck, Austria
2015 UCI World Cup DH #7,23rd Aug 2015,2015 UCI World Cup DH #7,"Val di Sole, Italy",263,https://www.rootsandrain.com/event2925/2015-aug-23-uci-world-cup-dh-7-val-di-sole/,Val di Sole, Italy
2015 UCI World Cup DH #6,8th Aug 2015,2015 UCI World Cup DH #6,"Windham, NY, USA",203,https://www.rootsandrain.com/event2924/2015-aug-8-uci-world-cup-dh-6-windham-ny/,Windham, USA
2015 UCI World Cup DH #5,1st Aug 2015,2015 UCI World Cup DH #5,"Mont-Sainte-Anne, QC, Canada",205,https://www.rootsandrain.com/event2923/2015-aug-1-uci-world-cup-dh-5-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2015 UCI World Cup DH #4,5th Jul 2015,2015 UCI World Cup DH #4,"Lenzerheide, Switzerland",289,https://www.rootsandrain.com/event2922/2015-jul-5-uci-world-cup-dh-4-lenzerheide/,Lenzerheide, Switzerland
2015 UCI World Cup DH #3,14th Jun 2015,2015 UCI World Cup DH #3,"Leogang, Austria",316,https://www.rootsandrain.com/event2921/2015-jun-14-uci-world-cup-dh-3-leogang/,Leogang, Austria
2015 UCI World Cup DH #2,7th Jun 2015,2015 UCI World Cup DH #2,"Fort William, UK",255,https://www.rootsandrain.com/event2920/2015-jun-7-uci-world-cup-dh-2-fort-william/,Fort William, UK
2015 UCI World Cup DH #1,12th Apr 2015,2015 UCI World Cup DH #1,"Lourdes, France",240,https://www.rootsandrain.com/event2919/2015-apr-12-uci-world-cup-dh-1-lourdes/,Lourdes, France
UCI - DHI World Championships '16,11th Sep 2016,UCI - DHI World Championships '16,"Val di Sole, Italy",228,https://www.rootsandrain.com/event3599/2016-sep-11-uci-dhi-world-championships-16-val-di-sole/,Val di Sole, Italy
2016 UCI World Cup DH #7,4th Sep 2016,2016 UCI World Cup DH #7,"Vallnord, Andorra",261,https://www.rootsandrain.com/event3592/2016-sep-4-uci-world-cup-dh-7-vallnord/,Vallnord, Andorra
2016 UCI World Cup DH #6,6th Aug 2016,2016 UCI World Cup DH #6,"Mont-Sainte-Anne, QC, Canada",178,https://www.rootsandrain.com/event3591/2016-aug-6-uci-world-cup-dh-6-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2016 UCI World Cup DH #5,9th Jul 2016,2016 UCI World Cup DH #5,"Lenzerheide, Switzerland",284,https://www.rootsandrain.com/event3590/2016-jul-9-uci-world-cup-dh-5-lenzerheide/,Lenzerheide, Switzerland
2016 UCI World Cup DH #4,12th Jun 2016,2016 UCI World Cup DH #4,"Leogang, Austria",285,https://www.rootsandrain.com/event3589/2016-jun-12-uci-world-cup-dh-4-leogang/,Leogang, Austria
2016 UCI World Cup DH #3,5th Jun 2016,2016 UCI World Cup DH #3,"Fort William, UK",228,https://www.rootsandrain.com/event3588/2016-jun-5-uci-world-cup-dh-3-fort-william/,Fort William, UK
2016 UCI World Cup DH #2,23rd Apr 2016,2016 UCI World Cup DH #2,"Cairns, QLD, Australia",146,https://www.rootsandrain.com/event3587/2016-apr-23-uci-world-cup-dh-2-cairns-qld/,Cairns, Australia
2016 UCI World Cup DH #1,10th Apr 2016,2016 UCI World Cup DH #1,"Lourdes, France",257,https://www.rootsandrain.com/event3586/2016-apr-10-uci-world-cup-dh-1-lourdes/,Lourdes, France
UCI - DHI World Championships '17,10th Sep 2017,UCI - DHI World Championships '17,"Cairns, QLD, Australia",155,https://www.rootsandrain.com/event4501/2017-sep-10-uci-dhi-world-championships-17-cairns-qld/,Cairns, Australia
2017 UCI World Cup DH #7,26th Aug 2017,2017 UCI World Cup DH #7,"Val di Sole, Italy",184,https://www.rootsandrain.com/event4493/2017-aug-26-uci-world-cup-dh-7-val-di-sole/,Val di Sole, Italy
2017 UCI World Cup DH #6,6th Aug 2017,2017 UCI World Cup DH #6,"Mont-Sainte-Anne, QC, Canada",172,https://www.rootsandrain.com/event4492/2017-aug-6-uci-world-cup-dh-6-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2017 UCI World Cup DH #5,9th Jul 2017,2017 UCI World Cup DH #5,"Lenzerheide, Switzerland",254,https://www.rootsandrain.com/event5870/2017-jul-9-uci-world-cup-dh-5-lenzerheide/,Lenzerheide, Switzerland
2017 UCI World Cup DH #4,2nd Jul 2017,2017 UCI World Cup DH #4,"Vallnord, Andorra",243,https://www.rootsandrain.com/event4491/2017-jul-2-uci-world-cup-dh-4-vallnord/,Vallnord, Andorra
2017 UCI World Cup DH #3,11th Jun 2017,2017 UCI World Cup DH #3,"Leogang, Austria",260,https://www.rootsandrain.com/event4490/2017-jun-11-uci-world-cup-dh-3-leogang/,Leogang, Austria
2017 UCI World Cup DH #2,4th Jun 2017,2017 UCI World Cup DH #2,"Fort William, UK",218,https://www.rootsandrain.com/event4489/2017-jun-4-uci-world-cup-dh-2-fort-william/,Fort William, UK
UCI - Austrian DH National Champs '17,14th May 2017,UCI - Austrian DH National Champs '17,"Windischgarsten, Austria",120,https://www.rootsandrain.com/venue1118/windischgarsten/,Windischgarsten, Austria
2017 UCI World Cup DH #1,30th Apr 2017,2017 UCI World Cup DH #1,"Lourdes, France",226,https://www.rootsandrain.com/event4488/2017-apr-30-uci-world-cup-dh-1-lourdes/,Lourdes, France
UCI - DHI World Championships '18,9th Sep 2018,UCI - DHI World Championships '18,"Lenzerheide, Switzerland",220,https://www.rootsandrain.com/event5904/2018-sep-9-uci-dhi-world-championships-18-lenzerheide/,Lenzerheide, Switzerland
2018 Mercedes-Benz UCI World Cup DH #7,25th Aug 2018,2018 Mercedes-Benz UCI World Cup DH #7,"La Bresse, France",234,https://www.rootsandrain.com/event5903/2018-aug-25-mercedes-benz-uci-world-cup-dh-7-la-bresse/,La Bresse, France
2018 Mercedes-Benz UCI World Cup DH #6,11th Aug 2018,2018 Mercedes-Benz UCI World Cup DH #6,"Mont-Sainte-Anne, QC, Canada",153,https://www.rootsandrain.com/event5902/2018-aug-11-mercedes-benz-uci-world-cup-dh-6-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2018 Mercedes-Benz UCI World Cup DH #5,15th Jul 2018,2018 Mercedes-Benz UCI World Cup DH #5,"Vallnord, Andorra",235,https://www.rootsandrain.com/event5901/2018-jul-15-mercedes-benz-uci-world-cup-dh-5-vallnord/,Vallnord, Andorra
2018 Mercedes-Benz UCI World Cup DH #4,7th Jul 2018,2018 Mercedes-Benz UCI World Cup DH #4,"Val di Sole, Italy",258,https://www.rootsandrain.com/event5900/2018-jul-7-mercedes-benz-uci-world-cup-dh-4-val-di-sole/,Val di Sole, Italy
2018 Mercedes-Benz UCI World Cup DH #3,10th Jun 2018,2018 Mercedes-Benz UCI World Cup DH #3,"Leogang, Austria",272,https://www.rootsandrain.com/event5899/2018-jun-10-mercedes-benz-uci-world-cup-dh-3-leogang/,Leogang, Austria
2018 Mercedes-Benz UCI World Cup DH #2,3rd Jun 2018,2018 Mercedes-Benz UCI World Cup DH #2,"Fort William, UK",201,https://www.rootsandrain.com/event5898/2018-jun-3-mercedes-benz-uci-world-cup-dh-2-fort-william/,Fort William, UK
2018 Mercedes-Benz UCI World Cup DH #1,22nd Apr 2018,2018 Mercedes-Benz UCI World Cup DH #1,"Lošinj, Croatia",218,https://www.rootsandrain.com/event5897/2018-apr-22-mercedes-benz-uci-world-cup-dh-1-losinj/,Lošinj, Croatia
2019 Mercedes-Benz UCI World Cup DH #8,7th Sep 2019,2019 Mercedes-Benz UCI World Cup DH #8,"Snowshoe, WV, USA",146,https://www.rootsandrain.com/event6987/2019-sep-7-mercedes-benz-uci-world-cup-dh-8-snowshoe-wv/,Snowshoe, USA
UCI - DHI World Championships '19,1st Sep 2019,UCI - DHI World Championships '19,"Mont-Sainte-Anne, QC, Canada",175,https://www.rootsandrain.com/event6988/2019-sep-1-uci-dhi-world-championships-19-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2019 Mercedes-Benz UCI World Cup DH #7,10th Aug 2019,2019 Mercedes-Benz UCI World Cup DH #7,"Lenzerheide, Switzerland",202,https://www.rootsandrain.com/event6986/2019-aug-10-mercedes-benz-uci-world-cup-dh-7-lenzerheide/,Lenzerheide, Switzerland
2019 Mercedes-Benz UCI World Cup DH #6,3rd Aug 2019,2019 Mercedes-Benz UCI World Cup DH #6,"Val di Sole, Italy",228,https://www.rootsandrain.com/event6985/2019-aug-3-mercedes-benz-uci-world-cup-dh-6-val-di-sole/,Val di Sole, Italy
2019 Mercedes-Benz UCI World Cup DH #5,14th Jul 2019,2019 Mercedes-Benz UCI World Cup DH #5,"Les Gets, France",277,https://www.rootsandrain.com/event6984/2019-jul-14-mercedes-benz-uci-world-cup-dh-5-les-gets/,Les Gets, France
2019 Mercedes-Benz UCI World Cup DH #4,7th Jul 2019,2019 Mercedes-Benz UCI World Cup DH #4,"Vallnord, Andorra",231,https://www.rootsandrain.com/event6983/2019-jul-7-mercedes-benz-uci-world-cup-dh-4-vallnord/,Vallnord, Andorra
2019 Mercedes-Benz UCI World Cup DH #3,9th Jun 2019,2019 Mercedes-Benz UCI World Cup DH #3,"Leogang, Austria",273,https://www.rootsandrain.com/event6982/2019-jun-9-mercedes-benz-uci-world-cup-dh-3-leogang/,Leogang, Austria
2019 Mercedes-Benz UCI World Cup DH #2,2nd Jun 2019,2019 Mercedes-Benz UCI World Cup DH #2,"Fort William, UK",211,https://www.rootsandrain.com/event6981/2019-jun-2-mercedes-benz-uci-world-cup-dh-2-fort-william/,Fort William, UK
2019 Mercedes-Benz UCI World Cup DH #1,28th Apr 2019,2019 Mercedes-Benz UCI World Cup DH #1,"Maribor, Slovenia",273,https://www.rootsandrain.com/event6980/2019-apr-28-mercedes-benz-uci-world-cup-dh-1-maribor/,Maribor, Slovenia
2020 Mercedes-Benz UCI World Cup DH #4,1st Nov 2020,2020 Mercedes-Benz UCI World Cup DH #4,"Lousã, Portugal",128,https://www.rootsandrain.com/event7843/2020-nov-1-mercedes-benz-uci-world-cup-dh-4-lousa/,Lousã, Portugal
2020 Mercedes-Benz UCI World Cup DH #3,30th Oct 2020,2020 Mercedes-Benz UCI World Cup DH #3,"Lousã, Portugal",128,https://www.rootsandrain.com/event7849/2020-oct-30-mercedes-benz-uci-world-cup-dh-3-lousa/,Lousã, Portugal
2020 Mercedes-Benz UCI World Cup DH #2,18th Oct 2020,2020 Mercedes-Benz UCI World Cup DH #2,"Maribor, Slovenia",135,https://www.rootsandrain.com/event7842/2020-oct-18-mercedes-benz-uci-world-cup-dh-2-maribor/,Maribor, Slovenia
2020 Mercedes-Benz UCI World Cup DH #1,16th Oct 2020,2020 Mercedes-Benz UCI World Cup DH #1,"Maribor, Slovenia",134,https://www.rootsandrain.com/event7846/2020-oct-16-mercedes-benz-uci-world-cup-dh-1-maribor/,Maribor, Slovenia
UCI - DHI World Championships '20,11th Oct 2020,UCI - DHI World Championships '20,"Leogang, Austria",192,https://www.rootsandrain.com/event7863/2020-oct-11-uci-dhi-world-championships-20-leogang/,Leogang, Austria
2021 Mercedes-Benz UCI World Cup DH #6,18th Sep 2021,2021 Mercedes-Benz UCI World Cup DH #6,"Snowshoe, WV, USA",140,https://www.rootsandrain.com/event9446/2021-sep-18-mercedes-benz-uci-world-cup-dh-6-snowshoe-wv/,Snowshoe, USA
2021 Mercedes-Benz UCI World Cup DH #5,15th Sep 2021,2021 Mercedes-Benz UCI World Cup DH #5,"Snowshoe, WV, USA",140,https://www.rootsandrain.com/event8736/2021-sep-15-mercedes-benz-uci-world-cup-dh-5-snowshoe-wv/,Snowshoe, USA
2021 Mercedes-Benz UCI World Cup DH #4,4th Sep 2021,2021 Mercedes-Benz UCI World Cup DH #4,"Lenzerheide, Switzerland",240,https://www.rootsandrain.com/event8735/2021-sep-4-mercedes-benz-uci-world-cup-dh-4-lenzerheide/,Lenzerheide, Switzerland
UCI - DHI World Championships '21,29th Aug 2021,UCI - DHI World Championships '21,"Val di Sole, Italy",206,https://www.rootsandrain.com/event8727/2021-aug-29-uci-dhi-world-championships-21-val-di-sole/,Val di Sole, Italy
2021 Mercedes-Benz UCI World Cup DH #3,15th Aug 2021,2021 Mercedes-Benz UCI World Cup DH #3,"Maribor, Slovenia",261,https://www.rootsandrain.com/event8731/2021-aug-15-mercedes-benz-uci-world-cup-dh-3-maribor/,Maribor, Slovenia
2021 Mercedes-Benz UCI World Cup DH #2,4th Jul 2021,2021 Mercedes-Benz UCI World Cup DH #2,"Les Gets, France",261,https://www.rootsandrain.com/event8734/2021-jul-4-mercedes-benz-uci-world-cup-dh-2-les-gets/,Les Gets, France
2021 Mercedes-Benz UCI World Cup DH #1,12th Jun 2021,2021 Mercedes-Benz UCI World Cup DH #1,"Leogang, Austria",259,https://www.rootsandrain.com/event8732/2021-jun-12-mercedes-benz-uci-world-cup-dh-1-leogang/,Leogang, Austria
2022 Mercedes-Benz UCI World Cup DH #8,3rd Sep 2022,2022 Mercedes-Benz UCI World Cup DH #8,"Val di Sole, Italy",289,https://www.rootsandrain.com/event9603/2022-sep-3-mercedes-benz-uci-world-cup-dh-8-val-di-sole/,Val di Sole, Italy
UCI - DHI World Championships '22,28th Aug 2022,UCI - DHI World Championships '22,"Les Gets, France",243,https://www.rootsandrain.com/event9604/2022-aug-28-uci-dhi-world-championships-22-les-gets/,Les Gets, France
2022 Mercedes-Benz UCI World Cup DH #7,6th Aug 2022,2022 Mercedes-Benz UCI World Cup DH #7,"Mont-Sainte-Anne, QC, Canada",171,https://www.rootsandrain.com/event9602/2022-aug-6-mercedes-benz-uci-world-cup-dh-7-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2022 Mercedes-Benz UCI World Cup DH #6,30th Jul 2022,2022 Mercedes-Benz UCI World Cup DH #6,"Snowshoe, WV, USA",172,https://www.rootsandrain.com/event9601/2022-jul-30-mercedes-benz-uci-world-cup-dh-6-snowshoe-wv/,Snowshoe, USA
2022 Mercedes-Benz UCI World Cup DH #5,16th Jul 2022,2022 Mercedes-Benz UCI World Cup DH #5,"Vallnord, Andorra",267,https://www.rootsandrain.com/event9600/2022-jul-16-mercedes-benz-uci-world-cup-dh-5-vallnord/,Vallnord, Andorra
2022 Mercedes-Benz UCI World Cup DH #4,9th Jul 2022,2022 Mercedes-Benz UCI World Cup DH #4,"Lenzerheide, Switzerland",305,https://www.rootsandrain.com/event9599/2022-jul-9-mercedes-benz-uci-world-cup-dh-4-lenzerheide/,Lenzerheide, Switzerland
2022 Mercedes-Benz UCI World Cup DH #3,11th Jun 2022,2022 Mercedes-Benz UCI World Cup DH #3,"Leogang, Austria",301,https://www.rootsandrain.com/event9598/2022-jun-11-mercedes-benz-uci-world-cup-dh-3-leogang/,Leogang, Austria
2022 Mercedes-Benz UCI World Cup DH #2,22nd May 2022,2022 Mercedes-Benz UCI World Cup DH #2,"Fort William, UK",247,https://www.rootsandrain.com/event9597/2022-may-22-mercedes-benz-uci-world-cup-dh-2-fort-william/,Fort William, UK
2022 Mercedes-Benz UCI World Cup DH #1,27th Mar 2022,2022 Mercedes-Benz UCI World Cup DH #1,"Lourdes, France",261,https://www.rootsandrain.com/event9596/2022-mar-27-mercedes-benz-uci-world-cup-dh-1-lourdes/,Lourdes, France
